!SIL 1.0	SIL
A 1.0	A
xAva 1.0	x A v a
xAve 1.0	x A v e
xAvoM 1.0	x A v o M
xAyare 1.0	x A y a r e
xAyrA 1.0	x A y r A
xAzwa 1.0	x A z w a
xEnika 1.0	x E n i k a
xI 1.0	x I
xIjiye 1.0	x I j i y e
xIkRA 1.0	x I k R A
xIkRiwa 1.0	x I k R i w a
xIllI 1.0	x I l l I
xInhA 1.0	x I n h A
xInhi 1.0	x I n h i
xIpa 1.0	x I p a
xIvAra 1.0	x I v A r a
xOda 1.0	x O d a
xOrA 1.0	x O r A
xOrAna 1.0	x O r A n a
xOra 1.0	x O r a
xOre 1.0	x O r e
xURana 1.0	x U R a n a
xUrI 1.0	x U r I
xUra 1.0	x U r a
xUraxarSana 1.0	x U r a x a r S a n a
xUrsaMcAra 1.0	x U r s a M c A r a
xUrxarSana 1.0	x U r x a r S a n a
xUsarA 1.0	x U s a r A
xUsarI 1.0	x U s a r I
xUsare 1.0	x U s a r e
xUsrA 1.0	x U s r A
xUsrI 1.0	x U s r I
xUsre 1.0	x U s r e
xUwa 1.0	x U w a
xaKlanxajZI 1.0	x a K l a n x a j Z I
xaMBa 1.0	x a M B a
xaMdavawa 1.0	x a M d a v a w a
xaPZwara 1.0	x a P Z w a r a
xaPnA 1.0	x a P n A
xaPwara 1.0	x a P w a r a
xaSamlava 1.0	x a S a m l a v a
xabAva 1.0	x a b A v a
xabwaka 1.0	x a b w a k a
xakRa 1.0	x a k R a
xakRiNI 1.0	x a k R i N I
xakRiNa 1.0	x a k R i N a
xalIla 1.0	x a l I l a
xala 1.0	x a l a
xaliwa 1.0	x a l i w a
xaloM 1.0	x a l o M
xama 1.0	x a m a
xarAra 1.0	x a r A r a
xarSana 1.0	x a r S a n a
xarabaMgA 1.0	x a r a b a M g A
xarasu 1.0	x a r a s u
xargAha 1.0	x a r g A h a
xarjA 1.0	x a r j A
xarja 1.0	x a r j a
xarjana 1.0	x a r j a n a
xaroM 1.0	x a r o M
xarvAje 1.0	x a r v A j e
xasAnana 1.0	x a s A n a n a
xasa 1.0	x a s a
xasamalaga 1.0	x a s a m a l a g a
xasamlO 1.0	x a s a m l O
xasamlaga 1.0	x a s a m l a g a
xasamlava 1.0	x a s a m l a v a
xaswUra 1.0	x a s w U r a
xaswura 1.0	x a s w u r a
xata 1.0	x a t a
xavAIyAM 1.0	x a v A I y A M
xavAo 1.0	x a v A o
xavaka 1.0	x a v a k a
xayA 1.0	x a y A
xayAla 1.0	x a y A l a
xe 1.0	x e
xeKA 1.0	x e K A
xeKI 1.0	x e K I
xeKa 1.0	x e K a
xeKanA 1.0	x e K a n A
xeKane 1.0	x e K a n e
xeKareKa 1.0	x e K a r e K a
xeKawA 1.0	x e K a w A
xeKawe 1.0	x e K a w e
xeKe 1.0	x e K e
xeKeM 1.0	x e K e M
xeKegA 1.0	x e K e g A
xeKi 1.0	x e K i
xeKie 1.0	x e K i e
xeKreKa 1.0	x e K r e K a
xeKwA 1.0	x e K w A
xeKwe 1.0	x e K w e
xeM 1.0	x e M
xeMge 1.0	x e M g e
xeRoM 1.0	x e R o M
xeSa 1.0	x e S a
xeSavAsI 1.0	x e S a v A s I
xeSo 1.0	x e S o
xeSoM 1.0	x e S o M
xeSvAsI 1.0	x e S v A s I
xeSvAsiyoM 1.0	x e S v A s i y o M
xedZa 1.0	x e d Z a
xegA 1.0	x e g A
xegI 1.0	x e g I
xehAMwa 1.0	x e h A M w a
xehIM 1.0	x e h I M
xehu 1.0	x e h u
xei 1.0	x e i
xekara 1.0	x e k a r a
xenA 1.0	x e n A
xena 1.0	x e n a
xene 1.0	x e n e
xerI 1.0	x e r I
xera 1.0	x e r a
xevA 1.0	x e v A
xevI 1.0	x e v I
xeva 1.0	x e v a
xevahUwi 1.0	x e v a h U w i
xevanAgarI 1.0	x e v a n A g a r I
xevawA 1.0	x e v a w A
xevawAoM 1.0	x e v a w A o M
xewA 1.0	x e w A
xewI 1.0	x e w I
xewe 1.0	x e w e
xiKA 1.0	x i K A
xiKAI 1.0	x i K A I
xiKAyI 1.0	x i K A y I
xiSA 1.0	x i S A
xiSAoM 1.0	x i S A o M
xie 1.0	x i e
xikRIwa 1.0	x i k R I w a
xilAne 1.0	x i l A n e
xilAyI 1.0	x i l A y I
xila 1.0	x i l a
xilacasvI 1.0	x i l a c a s v I
xilcasvI 1.0	x i l c a s v I
xillI 1.0	x i l l I
xina 1.0	x i n a
xinakA 1.0	x i n a k A
xinakara 1.0	x i n a k a r a
xino 1.0	x i n o
xinoM 1.0	x i n o M
xisambara 1.0	x i s a m b a r a
xiupUla 1.0	x i u p U l a
xivAlI 1.0	x i v A l I
xivasa 1.0	x i v a s a
xivya 1.0	x i v y a
xiyA 1.0	x i y A
xiye 1.0	x i y e
xo 1.0	x o
xoRI 1.0	x o R I
xoRa 1.0	x o R a
xoRiyoM 1.0	x o R i y o M
xoSI 1.0	x o S I
xoU 1.0	x o U
xoharAyA 1.0	x o h a r A y A
xono 1.0	x o n o
xonoM 1.0	x o n o M
xopahara 1.0	x o p a h a r a
xosarA 1.0	x o s a r A
xoswa 1.0	x o s w a
xqDZa 1.0	x q D Z a
xqRti 1.0	x q R t i
xqRtikoNa 1.0	x q R t i k o N a
xqSya 1.0	x q S y a
xrASa 1.0	x r A S a
xrAsa 1.0	x r A s a
xrava 1.0	x r a v a
xravya 1.0	x r a v y a
xruRtAcAra 1.0	x r u R t A c A r a
xruRtikoNa 1.0	x r u R t i k o N a
xuHKa 1.0	x u H K a
xuKArI 1.0	x u K A r I
xuKa 1.0	x u K a
xuKu 1.0	x u K u
xuRa 1.0	x u R a
xuRmana 1.0	x u R m a n a
xuRta 1.0	x u R t a
xuSmana 1.0	x u S m a n a
xuSpracAra 1.0	x u S p r a c A r a
xukAna 1.0	x u k A n a
xukAneM 1.0	x u k A n e M
xukAnxAra 1.0	x u k A n x A r a
xuniyA 1.0	x u n i y A
xuniyABara 1.0	x u n i y A B a r a
xupahara 1.0	x u p a h a r a
xurEsvAmI 1.0	x u r E s v A m I
xurGatanAgrasWa 1.0	x u r G a t a n A g r a s W a
xurGatnA 1.0	x u r G a t n A
xura 1.0	x u r a
xurga 1.0	x u r g a
xurgaM 1.0	x u r g a M
xurgama 1.0	x u r g a m a
xurvyavhAra 1.0	x u r v y a v h A r a
xurxarSana 1.0	x u r x a r S a n a
xuryA 1.0	x u r y A
xuryoXana 1.0	x u r y o X a n a
xusre 1.0	x u s r e
xuwAvAsa 1.0	x u w A v A s a
xuwavAso 1.0	x u w a v A s o
xvAIyoM 1.0	x v A I y o M
xvArA 1.0	x v A r A
xvArIkA 1.0	x v A r I k A
xvIpa 1.0	x v I p a
xvOrAna 1.0	x v O r A n a
xvi 1.0	x v i
xvija 1.0	x v i j a
xvipa 1.0	x v i p a
xvipakRIya 1.0	x v i p a k R I y a
xviwIya 1.0	x v i w I y a
yA 1.0	y A
yAMgasI 1.0	y A M g a s I
yAlYUsa 1.0	y A l Y U s a
yAni 1.0	y A n i
yAwAyAwa 1.0	y A w A y A w a
yAwanA 1.0	y A w a n A
yAwanAye 1.0	y A w a n A y e
yAwanAyeM 1.0	y A w a n A y e M
yAwnA 1.0	y A w n A
yAwnAMye 1.0	y A w n A M y e
yAwnAyeM 1.0	y A w n A y e M
yAwrA 1.0	y A w r A
yAwrI 1.0	y A w r I
yAwriyoM 1.0	y A w r i y o M
yAxa 1.0	y A x a
yAxava 1.0	y A x a v a
yUropIya 1.0	y U r o p I y a
yUropa 1.0	y U r o p a
yaSvIra 1.0	y a S v I r a
yaSvaMwa 1.0	y a S v a M w a
yahA 1.0	y a h A
yahAM 1.0	y a h A M
yahAz 1.0	y a h A z
yahI 1.0	y a h I
yahIM 1.0	y a h I M
yahUxI 1.0	y a h U x I
yaha 1.0	y a h a
yajFa 1.0	y a j F a
yajFopavIwa 1.0	y a j F o p a v I w a
yamunA 1.0	y a m u n A
yawrIoM 1.0	y a w r I o M
yaxi 1.0	y a x i
yaxyapi 1.0	y a x y a p i
ye 1.0	y e
yeha 1.0	y e h a
yekarmena 1.0	y e k a r m e n a
yo 1.0	y o
yogI 1.0	y o g I
yoga 1.0	y o g a
yogarAja 1.0	y o g a r A j a
yogaxAna 1.0	y o g a x A n a
yogrAja 1.0	y o g r A j a
yogxAna 1.0	y o g x A n a
yogya 1.0	y o g y a
yojanA 1.0	y o j a n A
yojnA 1.0	y o j n A
yokarmena 1.0	y o k a r m e n a
yonAja 1.0	y o n A j a
yonotila 1.0	y o n o t i l a
yuga 1.0	y u g a
yugoslAviyA 1.0	y u g o s l A v i y A
yukeSa 1.0	y u k e S a
yukwa 1.0	y u k w a
yulA 1.0	y u l A
yunAiteda 1.0	y u n A i t e d a
yuvA 1.0	y u v A
yuvaka 1.0	y u v a k a
yuxXa 1.0	y u x X a
yuxXbaMxI 1.0	y u x X b a M x I
